pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	species
6nmt	B	A	0	C	protein		tyrosine-protein phosphatase non-receptor type substrate 1	IMMUNE SYSTEM	01/11/19	Non-Blocking Fab 3 anti-SIRP-alpha antibody in complex with SIRP-alpha Variant 1	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wibowo, A.S., Carter, J.J., Sim, J.	1.83	X-RAY DIFFRACTION	0.204	0.178	False	True	unknown	unknown	unknown						Homo Sapiens
4xrc	B	A	0	D	protein		hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	01/20/15	Antibody hemagglutinin Complexes	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Spiller, B.W., Winarski, K.L.	2.74	X-RAY DIFFRACTION	0.248	0.192	False	True	IGHV4	IGLV3	Lambda						Influensa A
7jmw	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	08/03/20	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain in complex with cross-neutralizing antibody COVA1-16 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.89	X-RAY DIFFRACTION	0.291	0.238	False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
7mzn	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	05/24/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 231	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Tan, L.L., Dietrich, M.H., Chan, L.J., Tham, W.H.	3.1	X-RAY DIFFRACTION	0.259	0.223	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
6xpx	B	C	0	A	protein		hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	07/09/20	Human antibody S1V2-51 in complex with the influenza hemagglutinin head domain of A/Aichi/2/1968 (X-31)(H3N2)	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	McCarthy, K.R., Harrison, S.C.	2.598	X-RAY DIFFRACTION	0.215	0.185	False	True	IGHV3	IGKV4	Kappa						Influensa A
7djz	A	B	0	C	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	11/22/20	Crystal structure of SARS-CoV-2 Spike RBD in complex with MW01 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, J., Jiao, S., Wang, R., Zhang, J., Zhang, M., Wang, M.	2.397	X-RAY DIFFRACTION	0.23	0.183	False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7sbu	H	L	0	A	protein		spike protein s1	IMMUNE SYSTEM	09/25/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain in complex with a highly potent antibody J08 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.53	X-RAY DIFFRACTION	0.261	0.22	False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
6uig	B	C	0	A	protein		hemagglutinin	ANTIVIRAL PROTEIN	09/30/19	Crystal structure of human monoclonal antibody H7.200 in complex with H7N9 hemagglutinin HA1	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Dong, J., Crowe, J.E.	3.2	X-RAY DIFFRACTION	0.234	0.207	False	True	IGHV4	IGKV1	Kappa						Influensa A
7lab	Y	X	0	B	protein		spike glycoprotein	VIRAL PROTEIN, IMMUNE SYSTEM	01/06/21	Structure of SARS-CoV-2 S protein in complex with N-terminal domain antibody DH1052	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Manne, K., Acharya, P.	2.97	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7ps1	A	B	0	E	protein		surface glycoprotein	VIRAL PROTEIN	09/22/21	Crystal structure of the receptor binding domain of SARS-CoV-2 beta variant spike glycoprotein in complex with Beta-27 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.4	X-RAY DIFFRACTION	0.215	0.184	False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
5hhv	H	L	0	A	protein		interleukin-17a	IMMUNE SYSTEM/INHIBITOR	01/11/16	Inhibiting complex IL-17A and IL-17RA interactions with a linear peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Liu, S.	2.2	X-RAY DIFFRACTION	0.236	0.198	False	True	IGHV3	IGLV6	Lambda						Homo Sapiens
5k9k	H	L	0	F	protein		hemagglutinin	IMMUNE SYSTEM	05/31/16	Crystal structure of multidonor HV6-1-class broadly neutralizing Influenza A antibody 56.a.09 in complex with Hemagglutinin Hong Kong 1968.	HOMO SAPIENS; INFLUENZA A VIRUS (STRAIN A/HONG KONG/1/1968 H3N2)	homo sapiens	homo sapiens	influenza a virus (strain a/hong kong/1/1968h3n2) 	Joyce, M.G., Thomas, P.V., Wheatley, A.K., McDermott, A.B., Mascola, J.R., Kwong, P.D.	2.97	X-RAY DIFFRACTION	0.265	0.225	False	True	IGHV6	IGKV3	Kappa						Influensa A
6k0y	A	B	0	C	protein		programmed cell death protein 1	IMMUNE SYSTEM	05/08/19	Study of the interactions of a novel monoclonal antibody, mAb059c, with the hPD-1 receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Liu, J.X., Wang, G.Q.	1.7	X-RAY DIFFRACTION	0.214	0.171	False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
7s0b	C	D	0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	08/30/21	Structure of the SARS-CoV-2 RBD in complex with neutralizing antibody N-612-056	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Tanaka, S., Barnes, C.O., Bjorkman, P.J.	2.9	X-RAY DIFFRACTION	0.26	0.215	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
4xnq	H	L	0	C	protein		influenza h5 ha head domain vietnam rdt mutations	Viral protein/Immune system	01/15/15	Antibody hemagglutinin Complexes	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Spiller, B.W., Winarski, K.L.	2.001	X-RAY DIFFRACTION	0.225	0.191	False	True	IGHV4	IGLV3	Lambda						Influensa A
6rps	N	M	0	B	protein		carbonic anhydrase 12	LYASE	05/14/19	X-ray crystal structure of carbonic anhydrase XII complexed with a theranostic monoclonal antibody fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Alterio, V., Esposito, D., De Simone, G.	2.79	X-RAY DIFFRACTION	0.231	0.203	False	True	IGHV2	IGKV5	Kappa						Homo Sapiens
6xkr	H	L	0	P	protein		programmed cell death protein 1	ANTITUMOR PROTEIN/IMMUNE SYSTEM	06/27/20	Structure of Sasanlimab Fab in complex with PD-1	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kimberlin, C.R., Chin, S.M.	2.59	X-RAY DIFFRACTION	0.271	0.219	False	True	IGHV1	IGKV4	Kappa						Homo Sapiens
7e72	A	B	0	E	protein		angiopoietin-1 receptor	MEMBRANE PROTEIN	02/25/21	Crystal structure of Tie2-agonistic antibody in complex with human Tie2 Fn2-3	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kim, H.M., Jo, G.H., Hong, H.J., Han, A.	2.094	X-RAY DIFFRACTION	0.233	0.183	False	True	IGHV1	IGKV9	Kappa						Homo Sapiens
7ps4	B	C	0	A	protein		surface glycoprotein	VIRAL PROTEIN	09/22/21	Crystal structure of the receptor binding domain of SARS-CoV-2 beta variant spike glycoprotein in complex with Beta-38	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	1.94	X-RAY DIFFRACTION	0.231	0.204	False	True	IGHV5	IGLV1	Lambda						SARS-CoV-2
6a3w	A	B	0	C	protein		tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	06/17/18	Complex structure of 4-1BB and utomilumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Li, Y., Tan, S., Zhang, C., Chai, Y., Qi, J., Tien, P., Gao, S., Gao, G.F.	2.0	X-RAY DIFFRACTION	0.215	0.185	False	True	IGHV5	IGLV3	Lambda						Homo Sapiens
7pr0	C	B	0	A	protein		spike protein s1	VIRAL PROTEIN	09/20/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with FD-5D Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.92	X-RAY DIFFRACTION	0.251	0.214	False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
7so9	E	D	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/29/21	SARS-CoV-2 S B.1.617.2 delta variant + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.4	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
4qci	H	L	0	C	protein		platelet-derived growth factor subunit b	CYTOKINE/CYTOKINE RECEPTOR	05/12/14	PDGF-B blocking antibody bound to PDGF-BB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kuai, J., Mosyak, L., Tam, M., LaVallie, E., Pullen, N., Carven, G.	2.3	X-RAY DIFFRACTION	0.247	0.211	False	True	IGHV3	IGLV3	Lambda						Homo Sapiens
7kfx	H	L	0	A	protein		surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-C2 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.226	X-RAY DIFFRACTION	0.226	0.191	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7zf3	A	B	0	E	protein		spike protein s1	VIRAL PROTEIN	04/01/22	SARS-CoV-2 Omicron RBD in complex with Omi-3 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Huo, J., Ren, J., Stuart, D.I.	3.15	X-RAY DIFFRACTION	0.266	0.208	False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7bem	H	L	0	E	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/24/20	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 scFv	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Zhao, Y., Ren, J., Stuart, D.	2.52	X-RAY DIFFRACTION	0.247	0.217	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7chb	H	L	0	R	protein		sars-cov-2 receptor binding domain	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	07/05/20	Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Junyu, X., Qinyu, Z.	2.4	X-RAY DIFFRACTION	0.226	0.192	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
6nmv	H	L	0	S	protein		tyrosine-protein phosphatase non-receptor type substrate 1	IMMUNE SYSTEM	01/11/19	Non-Blocking Fab 218 anti-SIRP-alpha antibody in complex with SIRP-alpha Variant 1	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wibowo, A.S., Carter, J.J., Sim, J.	2.61	X-RAY DIFFRACTION	0.301	0.195	False	True	IGHV3	unknown	unknown						Homo Sapiens
7cj2	C	D	0	A	protein		chitinase 3-like 1 (cartilage glycoprotein-39), isoformcra_a 	IMMUNE SYSTEM	07/09/20	Crystal structure of the Fab antibody complexed with human YKL-40	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Choi, S., Na, J.H., Lee, S.J., Woo, J.R., Kim, D.Y., Hong, J.T., Lee, W.K.	2.7	X-RAY DIFFRACTION	0.269	0.212	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
6ocb	H	L	0	A	protein		hemagglutinin	IMMUNE SYSTEM	03/22/19	Crystal structure of FluA-20 Fab in complex with the head domain of H3 (A/Hong Kong/1/1968)	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus	Wilson, I.A., Lang, S.	2.1	X-RAY DIFFRACTION	0.239	0.202	False	True	IGHV4	IGKV1	Kappa						Influensa A
3wd5	H	L	0	A	protein		tumor necrosis factor	IMMUNE SYSTEM	06/06/13	Crystal structure of TNFalpha in complex with Adalimumab Fab fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hu, S., Liang, S.Y., Guo, Y.J., Lou, Z.Y.	3.101	X-RAY DIFFRACTION	0.275	0.187	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7mzm	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	05/24/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 215	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.3	X-RAY DIFFRACTION	0.257	0.216	False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
6xy2	H	L	0	A	protein		cytotoxic t-lymphocyte protein 4	IMMUNE SYSTEM	01/29/20	Crystal structure of CTLA-4 complexed with the Fab of HL32 antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Gao, H., Zhou, A.	3.05	X-RAY DIFFRACTION	0.293	0.249	False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
4hwb	H	L	0	A	protein		interleukin-13 receptor subunit alpha-1	IMMUNE SYSTEM	11/07/12	Crystal structure of ectodomain 3 of the IL-13 receptor alpha 1 in complex with a human neutralizing monoclonal antibody fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Xu, Y.	2.61	X-RAY DIFFRACTION	0.224	0.197	False	True	IGHV5	IGKV3	Kappa						Homo Sapiens
7b0b	H	L	0	F	protein		surface glycoprotein	ANTIVIRAL PROTEIN	11/19/20	Fab HbnC3t1p1_C6 bound to SARS-CoV-2 RBD	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Borenstein-Katz, A., Diskin, R.	2.98	X-RAY DIFFRACTION	0.246	0.209	False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
4xwg	H	L	0	A	protein		phosphatidylcholine-sterol acyltransferase	Hydrolase/Immune system	01/28/15	Crystal Structure of LCAT (C31Y) in complex with Fab1	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Piper, D.E., Walker, N.P.C., Romanow, W.G., Thibault, S.T.	2.65	X-RAY DIFFRACTION	0.251	0.176	False	True	IGHV3	IGLV3	Lambda						Homo Sapiens
7b3o	H	L	0	E	protein		surface glycoprotein	ANTIVIRAL PROTEIN	12/01/20	Crystal structure of the SARS-CoV-2 RBD in complex with STE90-C11 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Kluenemann, T., Van den Heuvel, J.	2.0	X-RAY DIFFRACTION	0.225	0.185	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
4o58	H	L	0	A	protein		hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	12/19/13	Crystal structure of broadly neutralizing antibody F045-092 in complex with A/Victoria/3/1975 (H3N2) influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Lee, P.S., Wilson, I.A.	2.7501	X-RAY DIFFRACTION	0.224	0.177	False	True	IGHV1	IGLV1	Lambda						Influensa A
6dkj	H	L	0	C	protein		gastric inhibitory polypeptide receptor	SIGNALING PROTEIN	05/29/18	human GIPR ECD and Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Min, X., Wang, Z.	1.95	X-RAY DIFFRACTION	0.238	0.199	False	True	IGHV3	IGKV3	Kappa						Homo Sapiens
7mzi	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	05/24/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Tan, L.L., Dietrich, M.H., Chan, L.J., Tham, W.H.	1.85	X-RAY DIFFRACTION	0.208	0.174	False	True	IGHV3	IGLV1	Lambda						SARS-CoV-2
6m3b	C	B	0	A	protein		vitamin k-dependent protein c heavy chain	BLOOD CLOTTING/IMMUNE SYSTEM	03/03/20	hAPC-c25k23 Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wang, X., Li, L., Zhao, X., Egner, U.	2.2	X-RAY DIFFRACTION	0.248	0.218	False	True	IGHV3	IGLV1	Lambda						Homo Sapiens
3r1g	H	L	0	B	protein		beta-secretase 1	PROTEIN BINDING	03/10/11	Structure Basis of Allosteric Inhibition of BACE1 by an Exosite-Binding Antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wang, W., Rouge, L., Wu, P., Chiu, C., Chen, Y., Wu, Y., Watts, R.J.	2.8	X-RAY DIFFRACTION	0.268	0.222	False	False	IGHV3	IGKV1	Kappa	1.3e-09	-12.12	SPR	25	21613622.0	Homo Sapiens
7kez	H	L	0	V	protein		isoform l-vegf206 of vascular endothelial growth factor a	IMMUNE SYSTEM	10/13/20	Crystal structure of bH1 Fab variant (CDR H3 loop design 16_0325) in complex with VEGF	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Shi, R., Manenda, M.S., Picard, M.-E.	2.31	X-RAY DIFFRACTION	0.235	0.178	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7kf0	A	B	0	C	protein		isoform l-vegf206 of vascular endothelial growth factor a	IMMUNE SYSTEM	10/13/20	Crystal structure of bH1 Fab variant (CDR H3 loop design 13_0346) in complex with VEGF	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Shi, R., Picard, M.-E.	2.32	X-RAY DIFFRACTION	0.246	0.192	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
1iqd	B	A	0	C	protein		human factor viii	IMMUNE SYSTEM/BLOOD CLOTTING	07/21/01	Human Factor VIII C2 Domain complexed to human monoclonal BO2C11 Fab.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Spiegel Jr., P.C., Jacquemin, M., Saint-Remy, J.M., Stoddard, B.L., Pratt, K.P.	2.0	X-RAY DIFFRACTION	0.253	0.203	False	False	IGHV1	IGKV3	Kappa	1.4e-11	-14.8	SPR		9657749.0	Homo Sapiens
4g6m	H	L	0	A	protein		interleukin-1 beta	IMMUNE SYSTEM	07/19/12	Crystal strucure of human IL-1beta in complex with therapeutic antibody binding fragment of gevokizumab	HOMO SAPIENS; HOMO SAPIENS, MUS MUSCULUS	homo sapiens	homo sapiens	homo sapiens	Blech, M., Hoerer, S.	1.81	X-RAY DIFFRACTION	0.226	0.202	False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
6wgl	A	B	0	C	protein		interleukin-4 receptor subunit alpha	IMMUNE SYSTEM	04/05/20	Dupilumab fab with Crystal Kappa design complexed with human IL-4 receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Druzina, Z., Atwell, S., Pustilnik, A., Antonysamy, S., Ho, C., Lieu, R., Hendle, J., Benach, J., Wang, J.	2.82	X-RAY DIFFRACTION	0.304	0.245	False	True	IGHV3	IGKV2	Kappa						Homo Sapiens
5c7x	M	N	0	B	protein		granulocyte-macrophage colony-stimulating factor	IMMUNE SYSTEM	06/25/15	Crystal structure of MOR04357, a neutralizing anti-human GM-CSF antibody Fab fragment in complex with human GM-CSF	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eylenstein, R., Weinfurtner, D., Steidl, S., Boettcher, J., Augustin, M.	2.95	X-RAY DIFFRACTION	0.276	0.234	False	True	IGHV3	IGLV3	Lambda						Homo Sapiens
7ly0	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/21	SARS-CoV-2 S/S2M11/S2M28 Local Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.6	ELECTRON MICROSCOPY			False	True	IGHV3	IGLV3	Lambda						SARS-CoV-2
6al5	H	L	0	A	protein		b-lymphocyte antigen cd19	IMMUNE SYSTEM	08/07/17	COMPLEX BETWEEN CD19 (N138Q MUTANT) AND B43 FAB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Teplyakov, A., Obmolova, G., Gilliland, G.L.	3.0	X-RAY DIFFRACTION	0.263	0.189	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
6yx9	H	L	0	A	protein		adiponectin receptor protein 2	MEMBRANE PROTEIN	04/30/20	Cryogenic human adiponectin receptor 2 (ADIPOR2) at 2.4 A resolution determined by Serial Crystallography (SSX) using CrystalDirect	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Healey, R.D., Basu, S., Humm, A.S., Leyrat, C., Dupeux, F., Pica, A., Granier, S., Marquez, J.A.	2.404	X-RAY DIFFRACTION	0.248	0.207	False	True	IGHV1	IGKV12	Kappa						Homo Sapiens
7d03	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN	09/09/20	S protein of SARS-CoV-2 in complex bound with FabP5A-2G7	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yan, R.H., Zhang, Y.Y., Li, Y.N., Zhou, Q.	3.2	ELECTRON MICROSCOPY			False	True	IGHV4	IGLV2	Lambda						SARS-CoV-2
5e8e	B	A	0	H	protein		thrombin heavy chain	IMMUNE SYSTEM/HYDROLASE	10/14/15	Crystal structure of thrombin bound to an exosite 1-specific IgA Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Baglin, T.P., Langdown, J., Frasson, R., Huntington, J.A.	1.9	X-RAY DIFFRACTION	0.244	0.201	False	False	IGHV1	IGKV3	Kappa						Homo Sapiens
5j13	C	B	0	A	protein		thymic stromal lymphopoietin	IMMUNE SYSTEM	03/28/16	Cytokine antibody complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Verstraete, K., Savvides, S.N.	2.298	X-RAY DIFFRACTION	0.215	0.189	False	True	IGHV3	IGLV3	Lambda						Homo Sapiens
5n7w	H	L	0	X	protein		interleukin-17a	IMMUNE SYSTEM	02/21/17	Computationally designed functional antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hargreaves, D., Breed, J.	1.96	X-RAY DIFFRACTION	0.25	0.199	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
7sd5	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/29/21	Crystallographic structure of neutralizing antibody 10-40 in complex with SARS-CoV-2 spike receptor binding domain	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Reddem, E.R., Casner, R.G., Shapiro, L.	1.53	X-RAY DIFFRACTION	0.206	0.176	False	True	IGHV4	IGLV6	Lambda						SARS-CoV-2
2h32	H	A	0	B	protein		immunoglobulin omega chain	IMMUNE SYSTEM	05/22/06	Crystal structure of the pre-B cell receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Bankovich, A.J.	2.7	X-RAY DIFFRACTION	0.295	0.267	False	True	unknown	unknown	unknown						Homo Sapiens
7ejy	H	L	0	R	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/03/21	Complex Structure of antibody BD-503 and RBD of COVID-19	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xu, H., Wang, B., Zhao, T.N., Su, X.D.	3.04	X-RAY DIFFRACTION	0.254	0.214	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7nxb	A	B	0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/17/21	Crystal structure of the receptor binding domain of SARS-CoV-2 P.1 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.67	X-RAY DIFFRACTION	0.246	0.213	False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
5l6y	H	L	0	C	protein		interleukin-13	IMMUNE SYSTEM	06/01/16	il13 in complex with tralokinumab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Breed, J.	1.99	X-RAY DIFFRACTION	0.211	0.189	False	True	IGHV1	IGLV3	Lambda						Homo Sapiens
7qf0	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	12/03/21	Crystal structure of the SARS-CoV-2 RBD in complex with the human antibody CV2.2325	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Fernandez, I., Pederzoli, R., Rey, F.A.	2.3	X-RAY DIFFRACTION	0.221	0.185	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
